test_year,horizon,factor_name,neutralization,ic_dates,mean_rank_ic,rank_ic_std,rank_ic_ir,positive_ratio
2022,20,technology_quality_rank,raw,242,-0.02821387412577798,0.09236181183023144,-0.30547120684073836,0.3925619834710744
2022,20,technology_valuation_rank,raw,242,-0.007027157968183917,0.06951023009939443,-0.10109530580082395,0.49586776859504134
2022,20,deducted_profit_growth_rank,raw,242,-0.056009797678968284,0.13611107523137153,-0.4115006628502401,0.3677685950413223
2022,20,gross_margin_yoy_rank,raw,242,-0.010620333227593422,0.07917337494878471,-0.13414021108059943,0.4380165289256198
2022,20,receivables_turnover_rank,raw,242,0.05048516509668375,0.17714775447985695,0.28498902085955763,0.5909090909090909
2022,20,inventory_turnover_rank,raw,242,0.021158389543557133,0.08465894871791628,0.24992502108733847,0.628099173553719
2022,20,fixed_asset_turnover_rank,raw,242,-0.02151622960510989,0.11317493478377441,-0.1901147957029317,0.4380165289256198
2022,20,cash_ratio_rank,raw,242,-0.010556193599367271,0.14278106904495136,-0.07393272560554856,0.4669421487603306
2022,20,interest_debt_ratio_rank,raw,242,-0.01616045214105138,0.18946801523736123,-0.08529382714441766,0.48760330578512395
2022,20,operating_cycle_rank,raw,242,0.017760713012220493,0.09278737485101737,0.1914130348092907,0.5867768595041323
2022,20,staff_average_revenue_rank,raw,181,-0.012777458707593906,0.08644550235521041,-0.1478094100846388,0.4861878453038674
2022,20,staff_average_profit_rank,raw,181,-0.01627048814883635,0.10042349943018812,-0.16201873307698444,0.47513812154696133
2022,20,fcff_back_rank,raw,242,-0.00012657610932362376,0.10815567758731795,-0.001170314052366177,0.5041322314049587
2022,20,deducted_profit_growth_change_rank,raw,242,-0.00870170566479089,0.1001285024383689,-0.08690538111410348,0.41735537190082644
2022,20,gross_margin_yoy_change_rank,raw,242,-0.00994343323273438,0.06902287638403361,-0.14405996611051836,0.4669421487603306
2022,20,receivables_turnover_change_rank,raw,242,-0.0034636977775817255,0.11894685424088171,-0.029119708963192253,0.5702479338842975
2022,20,inventory_turnover_change_rank,raw,242,0.007145123864289594,0.07122717050960746,0.10031458238714994,0.512396694214876
2022,20,fixed_asset_turnover_change_rank,raw,242,-0.00811323850917983,0.10701213265698924,-0.07581606223273352,0.4793388429752066
2022,20,cash_ratio_change_rank,raw,242,0.02421583822080048,0.10121869386089781,0.23924274555527922,0.6115702479338843
2022,20,interest_debt_ratio_change_rank,raw,242,-0.008955664255411567,0.07663172303579195,-0.1168662780977624,0.4669421487603306
2022,20,operating_cycle_change_rank,raw,242,-0.01676886673176587,0.09305496159851653,-0.18020389717761376,0.4049586776859504
2022,20,staff_average_revenue_change_rank,raw,35,0.048296304458860795,0.08784781622159153,0.5497723965845194,0.7142857142857143
2022,20,staff_average_profit_change_rank,raw,35,0.017952106616306206,0.09104040821576645,0.19718833612608128,0.6
2022,20,fcff_back_change_rank,raw,242,0.00612015561976983,0.10244585713643199,0.05974039156721905,0.5454545454545454
