experiment_id,score,policy,top_k,cost_bps,gross_total_return,net_total_return,net_research_proxy_alpha,average_one_way_turnover
C2_STABLE_CORE_REG,lgbm_stable_core,lgbm_stable_core_sector_top20,20,50,0.49104093188548936,-0.028589849133256684,-0.30572189676172845,0.596091883851882
C3_DE_REDUNDANT_REG,lgbm_dedup,lgbm_dedup_sector_top20,20,0,0.3131378362237165,0.3131378362237165,0.036005788595244725,0.5267712671577555
C3_DE_REDUNDANT_REG,lgbm_dedup,lgbm_dedup_sector_top20,20,10,0.3131378362237165,0.21736483855241207,-0.0597672090760597,0.5267712671577555
C3_DE_REDUNDANT_REG,lgbm_dedup,lgbm_dedup_sector_top20,20,20,0.3131378362237165,0.12848008101260078,-0.148651966615871,0.5267712671577555
C3_DE_REDUNDANT_REG,lgbm_dedup,lgbm_dedup_sector_top20,20,30,0.3131378362237165,0.04599511465472039,-0.23113693297375137,0.5267712671577555
C3_DE_REDUNDANT_REG,lgbm_dedup,lgbm_dedup_sector_top20,20,50,0.3131378362237165,-0.10156088315853173,-0.3786929307870035,0.5267712671577555
C4_REMOVE_DEAD_REG,lgbm_dead_removed,lgbm_dead_removed_sector_top20,20,0,0.19804389351747598,0.19804389351747598,-0.07908815411099579,0.5159011749172547
C4_REMOVE_DEAD_REG,lgbm_dead_removed,lgbm_dead_removed_sector_top20,20,10,0.19804389351747598,0.1123573010862764,-0.16477474654219537,0.5159011749172547
C4_REMOVE_DEAD_REG,lgbm_dead_removed,lgbm_dead_removed_sector_top20,20,20,0.19804389351747598,0.03271456990465604,-0.24441747772381572,0.5159011749172547
C4_REMOVE_DEAD_REG,lgbm_dead_removed,lgbm_dead_removed_sector_top20,20,30,0.19804389351747598,-0.041304630112170004,-0.31843667774064177,0.5159011749172547
C4_REMOVE_DEAD_REG,lgbm_dead_removed,lgbm_dead_removed_sector_top20,20,50,0.19804389351747598,-0.17401161834782353,-0.4511436659762953,0.5159011749172547
E_NEW_INDEPENDENT_FEATURES,lgbm_new_features,lgbm_new_features_sector_top20,20,0,0.2350271202508556,0.2350271202508556,-0.042104927377616175,0.6242586637380769
E_NEW_INDEPENDENT_FEATURES,lgbm_new_features,lgbm_new_features_sector_top20,20,10,0.2350271202508556,0.12907596236230945,-0.14805608526616232,0.6242586637380769
E_NEW_INDEPENDENT_FEATURES,lgbm_new_features,lgbm_new_features_sector_top20,20,20,0.2350271202508556,0.03209328153140478,-0.24503876609706698,0.6242586637380769
E_NEW_INDEPENDENT_FEATURES,lgbm_new_features,lgbm_new_features_sector_top20,20,30,0.2350271202508556,-0.05666983019289473,-0.3338018778213665,0.6242586637380769
E_NEW_INDEPENDENT_FEATURES,lgbm_new_features,lgbm_new_features_sector_top20,20,50,0.2350271202508556,-0.2122295866955498,-0.4893616343240216,0.6242586637380769
