experiment_id,score,dimension,bucket,rows,dates,rank_ic_mean,rank_ic_median,rank_ic_std,icir,positive_ic_ratio,pearson_ic_mean,rank_ic_t_stat
C4_REMOVE_DEAD_REG,lgbm_dead_removed,market_regime,risk_off,82185,333,0.015767524077110108,0.02595812383530818,0.2017026724387148,0.07817211287520696,0.5975975975975976,-0.00026299511656847853,1.426507197334656
C4_REMOVE_DEAD_REG,lgbm_dead_removed,market_regime,risk_on,74155,297,0.040305484273193026,0.05157659202359316,0.24717047220049532,0.16306755379946333,0.6363636363636364,0.003811561751072987,2.8102553352561825
C4_REMOVE_DEAD_REG,lgbm_dead_removed,sector,consumer,24685,197,0.037942129656518254,0.007792207792207793,0.33324125305525865,0.11385784115457825,0.5025380710659898,0.07259240156921805,1.5980709541503753
C4_REMOVE_DEAD_REG,lgbm_dead_removed,sector,cyclical_manufacturing,125839,1434,0.06897775423670398,0.07025220045057799,0.2070635985403101,0.3331235172331642,0.6492329149232915,0.043564064473596925,12.614785462712431
C4_REMOVE_DEAD_REG,lgbm_dead_removed,sector,defensive,18436,0,,,,,,,
C4_REMOVE_DEAD_REG,lgbm_dead_removed,sector,finance_real_estate,63024,1434,0.09699668453745829,0.1102646200207176,0.3483055359113811,0.2784816046166347,0.6150627615062761,0.07895745957760024,10.54559499950254
C4_REMOVE_DEAD_REG,lgbm_dead_removed,sector,healthcare,33513,860,0.03742546825509003,0.05358940830336711,0.23193266190059336,0.16136350934104587,0.5848837209302326,0.0349575172985559,4.732106998610419
C4_REMOVE_DEAD_REG,lgbm_dead_removed,sector,other,21075,382,0.006424109098263184,0.0035783754294517888,0.22069488794791242,0.029108554158170524,0.5078534031413613,-0.028708283982216597,0.5689214597977774
C4_REMOVE_DEAD_REG,lgbm_dead_removed,sector,technology,70747,1434,0.004543290741463479,-0.0004979438583944217,0.2243858958011734,0.02024766630380928,0.5,-0.00493725352605725,0.7667425244083527
C4_REMOVE_DEAD_REG,lgbm_dead_removed,market_cap,small,119106,1434,0.0759956490062533,0.08130173008758558,0.20634578467458278,0.36829271373826267,0.6771269177126917,0.03818989760453902,13.946579364543945
C4_REMOVE_DEAD_REG,lgbm_dead_removed,market_cap,mid,118636,1434,0.05263150038020233,0.050573704030212996,0.21610195178375152,0.24354939853976662,0.6255230125523012,0.029472898362511254,9.222775496817848
C4_REMOVE_DEAD_REG,lgbm_dead_removed,market_cap,large,119577,1434,0.01940419025304616,0.016923207578313497,0.23341977817835205,0.08313001753527394,0.5348675034867504,-0.01782581053992431,3.147983503023013
C4_REMOVE_DEAD_REG,lgbm_dead_removed,volatility,low,119106,1434,0.019981621075414454,0.03158455468582051,0.19635095581804257,0.10176482712888507,0.5578800557880056,0.0008381964060140258,3.853650059123175
C4_REMOVE_DEAD_REG,lgbm_dead_removed,volatility,mid,118636,1434,0.008854780606460048,0.009549930536928368,0.18092787986604209,0.04894094051738226,0.5195258019525802,-0.0033162958754648923,1.8533049545644154
C4_REMOVE_DEAD_REG,lgbm_dead_removed,volatility,high,119577,1434,0.04502888075384881,0.04570558657393803,0.1771848975429457,0.2541349820344299,0.595536959553696,0.03143317423368963,9.623632409868936
E_NEW_INDEPENDENT_FEATURES,lgbm_new_features,market_regime,neutral,200979,804,0.07629131422042043,0.07247033987459386,0.1964979897907926,0.3882549348298486,0.6417910447761194,0.03925140024326597,11.00892742793152
E_NEW_INDEPENDENT_FEATURES,lgbm_new_features,market_regime,risk_off,82185,333,0.021195796678227134,0.03054159457460332,0.19411701556582128,0.1091908229499853,0.5675675675675675,0.0004568035840093118,1.9925455394777927
E_NEW_INDEPENDENT_FEATURES,lgbm_new_features,market_regime,risk_on,74155,297,0.043071367581015686,0.05620380787592373,0.2640346064176124,0.16312773603961414,0.6060606060606061,-0.005467543428096742,2.8112924972024484
E_NEW_INDEPENDENT_FEATURES,lgbm_new_features,sector,consumer,24685,197,0.05954448955466009,0.04210526315789473,0.2515035526836027,0.2367540693533202,0.5786802030456852,0.07910071902198813,3.3230017157692346
E_NEW_INDEPENDENT_FEATURES,lgbm_new_features,sector,cyclical_manufacturing,125839,1434,0.07443002006117003,0.07356496918409618,0.22291509035909046,0.3338940398394378,0.6290097629009763,0.04979571034383781,12.643963761059673
E_NEW_INDEPENDENT_FEATURES,lgbm_new_features,sector,defensive,18436,0,,,,,,,
E_NEW_INDEPENDENT_FEATURES,lgbm_new_features,sector,finance_real_estate,63024,1434,0.08911812963227154,0.10604339954438127,0.34004717895630027,0.26207577991324604,0.608786610878661,0.07156550931437732,9.924336072210235
E_NEW_INDEPENDENT_FEATURES,lgbm_new_features,sector,healthcare,33513,860,0.019122254858190805,0.030969030969030968,0.23738293933380242,0.08055446154578755,0.5465116279069767,0.021318777775035217,2.3623205321127183
E_NEW_INDEPENDENT_FEATURES,lgbm_new_features,sector,other,21075,382,-0.03425122715252707,-0.06762782682105417,0.24661357665711967,-0.1388862187427273,0.41361256544502617,-0.06110201325246885,-2.7145061854859223
E_NEW_INDEPENDENT_FEATURES,lgbm_new_features,sector,technology,70747,1434,0.010468896470238262,0.013523440192555315,0.22863636686580863,0.04578841333838493,0.5258019525801952,-0.00013429322575576736,1.7339244486225724
E_NEW_INDEPENDENT_FEATURES,lgbm_new_features,market_cap,small,119106,1434,0.0767624291275686,0.07658703464498032,0.207159752021649,0.3705470216992084,0.6464435146443515,0.031130857181068082,14.031945932267565
E_NEW_INDEPENDENT_FEATURES,lgbm_new_features,market_cap,mid,118636,1434,0.06489463534052987,0.06692580812081347,0.22377797028056207,0.2899956383515683,0.6297071129707112,0.045962347594499076,10.981610644939417
E_NEW_INDEPENDENT_FEATURES,lgbm_new_features,market_cap,large,119577,1434,0.03634030794534547,0.054306893089658956,0.26303117254398173,0.1381597002129813,0.5648535564853556,-0.003561953105899227,5.231858117538853
